1,Agama,Reptil,V, 0.5Kg,https://w7.pngwing.com/pngs/405/811/png-transparent-lizard-common-iguanas-agama-reptile-lizard-animals-scaled-reptile-fauna.png
2,Aguilucho,Ave,V,1.5Kg,https://w7.pngwing.com/pngs/313/920/png-transparent-bald-eagle-buzzard-hawk-beak-eagle-animals-fauna-wildlife-thumbnail.png
3,Albatros,Ave,V,12Kg,https://assets.stickpng.com/images/59bedbdd7a216d0b052f1290.png
4,Alfonsino,Pez,V,2Kg,https://w7.pngwing.com/pngs/748/902/png-transparent-splendid-alfonsino-fish-royal-gramma-fish-animals-seafood-orange.png
5,Anchoveta,Pez,V,3Kg,https://sardinagolfodecalifornia.org/wp-content/uploads/2018/09/anchoveta.png
6,Anfisbenio,Reptil,V,3Kg,https://i.imgur.com/wjHJi8H.png
7,Anolis,Reptiles,V,5Kg,https://multimedia20stg.blob.core.windows.net/especiesreduced/1819A-parvauritus%20females_QCAZR6809_2%20%20copy.png
8,Anélido,Artropodo,IV,0.5Mg,https://w7.pngwing.com/pngs/292/716/png-transparent-worm-annelid-body-jewellery-worms-insects-worm-annelid.png
9,Arácnido,Artropodo,IV,0.7Mg,https://e1.pngegg.com/pngimages/935/158/png-clipart-spider-black-and-brown-arachnid.png
10,Avestruz,Ave,V,20Kg,https://imgur.com/aEc2tL3.png
11,Axolótl,Anfibio,V,1Kg,https://w7.pngwing.com/pngs/390/938/png-transparent-ambystoma-mexicanum-axolotl.png
12,Azulejo,Ave,V,2Kg,https://cdn.pixabay.com/photo/2016/03/02/13/59/bird-1232416_1280.png
13,Bacalao de profundidad,Pez,V,5Kg,https://i.imgur.com/d6D0SHr.png
14,Ballena,Mamifero,V,25T,https://e7.pngegg.com/pngimages/27/40/png-clipart-sit-hip-whale-whale-great-whales.png
15,Besugo,Pez,V,5Kg,https://e7.pngegg.com/pngimages/236/953/png-clipart-pagrus-major-graphy-sea-bream-seafood-photography.png
16,Bivalvo,Molusco,IV,0.4Mg,https://4.bp.blogspot.com/-jedI1j8OKic/XEmckiWPRtI/AAAAAAAAEBw/k3TaPs58fOoAjJcULi3n7gLnv9IPFpzDwCLcBGAs/s1600/abanico.png
17,Búho,Ave,V,5Kg,https://w7.pngwing.com/pngs/366/146/png-transparent-owl-bird-owl-animals-photography-wildlife.png
18,Caballa,Pez,V,5Kg,https://w7.pngwing.com/pngs/212/924/png-transparent-atlantic-mackerel-thunnus-sardine-chub-mackerel-fish-animals-seafood-fauna.png
19,Caballo,Mamifero,V,400Kg,https://cdn.pixabay.com/photo/2016/03/31/22/49/horse-1297225_1280.png
20,Calango verde,Reptil,V,0.8Mg,https://static.inaturalist.org/photos/60589642/large.png
21,Camaleón,Reptil,V,3Kg,https://w7.pngwing.com/pngs/178/720/png-transparent-chameleons-lizard-reptile-animal-zuruck-in-die-ewigkeit-lizard.png
22,Canario,Ave,V,2Kg,https://www3.gobiernodecanarias.org/medusa/wiki/images/5/5b/Canario.png
23,Canguro,Mamifero,V,150Kg,https://w7.pngwing.com/pngs/93/178/png-transparent-a-kangaroo-kangaroo-mammal-australia-thumbnail.png
24,Carpintero,Ave,V,5Kg,https://pajaross.com/wp-content/uploads/pajaro_carpintero_pajaross.com_.png
25,Cecilia,Anfibio,V,1Kg,https://w7.pngwing.com/pngs/800/115/png-transparent-fire-salamander-frog-caecilian-animal-salamander-animals-animal-amphibian.png
26,Cefalópodo,Molusco,IV,1Kg,https://w7.pngwing.com/pngs/190/305/png-transparent-octopus-squid-ocean-cephalopod-octapus-miscellaneous-cleaning-animal.png
27,Cerdo,Mamifero,V,150Kg,https://assets.stickpng.com/images/580b57fbd9996e24bc43bc9b.png
28,Chimpancé,Mamifero,V,70Kg,https://w7.pngwing.com/pngs/178/671/png-transparent-common-chimpanzee-desktop-monkey-chimpanzee-mammal-animals-terrestrial-animal.png
29,Chotacabras,Reptil,V,4Kg,https://i.imgur.com/9k67dsr.png
30,Chucuala,Reptil,V,1Kg,https://imgur.com/q1ECuXa.png
31,Cocodrilos,Reptil,V,179Kg,https://w1.pngwing.com/pngs/469/298/png-transparent-alligator-american-alligator-crocodiles-chinese-alligator-crocodile-clip-reptile-alligators-crocodilia.png
32,Conejo,Mamifero,V,10Kg,https://assets.stickpng.com/images/580b57fbd9996e24bc43bca3.png
33,Congrio dorado,Pez,V,5Kg,https://imgur.com/XPJ9vxn.png
34,Congrio negro,Pez,V,6Kg,https://i.imgur.com/YHfpAu5.png
35,Crustáceo,Artropodo,IV,10Kg,Cuhttps://w7.pngwing.com/pngs/107/925/png-transparent-giant-mud-crab-atlantic-horseshoe-crab-european-green-crab-crab-food-crustacean-animals.png
36,Cuervo,Ave,V,5Kg,https://assets.stickpng.com/images/580b57fbd9996e24bc43bb4d.png
37,Cárabo,Ave,V,4Kg,https://3.bp.blogspot.com/-ir8cpGcEu5Y/VkzklIPG57I/AAAAAAAASzE/RFs07kPflcQ/s1600/Carabo%2BLapo%25CC%2581n.png
38,Cóndor,Ave,V,80Kg,https://w7.pngwing.com/pngs/968/342/png-transparent-condor-bald-eagle-lappet-faced-vulture-eagle-animals-fauna-bird-thumbnail.png
39,Delfin,Mamifero,V,100Kg,https://assets.stickpng.com/images/580b57fbd9996e24bc43bcc7.png
40,Dragón de Komodo,Reptil,V,120kG,https://assets.stickpng.com/images/5c1a2d4287c99a022c4280e7.png
41,Elefante,Mamifero,V,20T,https://assets.stickpng.com/thumbs/580b57fbd9996e24bc43bbea.png
42,Erizo,Mamifero,V,6Kg,https://assets.stickpng.com/thumbs/58afdf94829958a978a4a6bd.png
43,Escinco,Anfibio,V,3Kg,https://i.imgur.com/rQfO9pe.png
44,Eslizón,Anfibio,V,2Kg,https://i.imgur.com/6h4Utht.png
45,Esponjas,Poriferos,IV,0.8Mg,https://w7.pngwing.com/pngs/159/886/png-transparent-spongebob-squarepants-illustration-spongebob-squarepants-patrick-star-spongebob-miscellaneous-photography-wiki-thumbnail.png
